"consumer","resource","n_interacting_sites","n_cooccurring_sites","repeatability"
"Broman","Onigri",3,6,0.5
"Broman","Onival",6,16,0.375
"Broman","Oobscu",6,10,0.6
"Broman","Oproxi",1,3,0.333333333333333
"Broman","Oretic",7,8,0.875
"Broman","Oretus",4,4,1
"Broman","Osamol",5,11,0.454545454545455
"Broman","Ospeit",1,1,1
"Broman","Ovaria",7,15,0.466666666666667
"Broman","Ovesic",1,3,0.333333333333333
"Broman","Ovimin",4,9,0.444444444444444
"Campop","Ogalla",1,1,1
"Ccruxx","Eaurit",1,2,0.5
"Ccruxx","Eelaea",3,7,0.428571428571429
"Ccruxx","Emucro",2,4,0.5
"Ccruxx","Enigri",1,2,0.5
"Ccruxx","Etesta",2,2,1
"Ccruxx","Evenus",2,2,1
"Ccruxx","Oadaph",8,9,0.888888888888889
"Ccruxx","Oarcti",2,2,1
"Ccruxx","Obella",1,2,0.5
"Ccruxx","Obridg",10,14,0.714285714285714
"Ccruxx","Ocolla",6,6,1
"Ccruxx","Oelaea",3,3,1
"Ccruxx","Ofoeti",1,3,0.333333333333333
"Ccruxx","Ogalla",4,4,1
"Ccruxx","Okriec",7,9,0.777777777777778
"Ccruxx","Onigri",2,2,1
"Ccruxx","Opedun",10,10,1
"Ccruxx","Opprox",2,2,1
"Ccruxx","Oproxi",26,27,0.962962962962963
"Ccruxx","Opustu",1,1,1
"Ccruxx","Otrian",4,7,0.571428571428571
"Ccruxx","Ovaria",10,12,0.833333333333333
"Ccruxx","Ovesic",6,11,0.545454545454545
"Ccruxx","Ovimin",18,22,0.818181818181818
"Ccruxx","Oviril",7,8,0.875
"Cdorsa","Halien",2,2,1
"Cdorsa","Heryth",1,2,0.5
"Celong","Hacuti",6,8,0.75
"Celong","Halien",9,14,0.642857142857143
"Celong","Hangli",9,19,0.473684210526316
"Celong","Hanoma",8,16,0.5
"Celong","Hcarin",2,2,1
"Celong","Heryth",7,12,0.583333333333333
"Celong","Hischn",4,16,0.25
"Celong","Hleuca",30,41,0.731707317073171
"Celong","Hleuco",7,18,0.388888888888889
"Celong","Hnudip",9,16,0.5625
"Celong","Hoblit",6,11,0.545454545454545
"Celong","Hplicd",6,7,0.857142857142857
"Celong","Hplicg",18,22,0.818181818181818
"Celong","Hplicl",5,7,0.714285714285714
"Celong","Hplicp",2,4,0.5
"Celong","Hpolit",13,22,0.590909090909091
"Celong","Hpruss",21,38,0.552631578947368
"Celong","Hpscho",1,5,0.2
"Celong","Hpurpu",9,13,0.692307692307692
"Celong","Hscapr",1,2,0.5
"Celong","Hsglau",2,4,0.5
"Celong","Hspecc",1,3,0.333333333333333
"Celong","Hspira",10,10,1
"Celong","Hspirh",2,3,0.666666666666667
"Celong","Htuber",3,6,0.5
"Celong","Odolic",6,11,0.545454545454545
"Celong","Oglauc",2,4,0.5
"Celong","Ohasta",2,13,0.153846153846154
"Celong","Olappl",6,11,0.545454545454545
"Celong","Olappo",2,11,0.181818181818182
"Celong","Omyrsi",1,4,0.25
"Celong","Onigri",3,6,0.5
"Celong","Ospset",2,2,1
"Cflavi","Hleuco",1,1,1
"Cflavi","Hplicp",1,1,1
"Cflavi","Oobscu",2,2,1
"Cgraci","Obridg",1,1,1
"Chalci","Eappen",2,2,1
"Chalci","Eatraa",6,7,0.857142857142857
"Chalci","Eaurit",10,11,0.909090909090909
"Chalci","Eboreo",20,21,0.952380952380952
"Chalci","Eciner",4,4,1
"Chalci","Edaphn",5,6,0.833333333333333
"Chalci","Eelaea",8,12,0.666666666666667
"Chalci","Egemmc",2,4,0.5
"Chalci","Egemmf",7,11,0.636363636363636
"Chalci","Egemmh",8,11,0.727272727272727
"Chalci","Ehasta",15,17,0.882352941176471
"Chalci","Elanat",9,10,0.9
"Chalci","Elappc",11,13,0.846153846153846
"Chalci","Elappo",19,23,0.826086956521739
"Chalci","Emucro",10,13,0.769230769230769
"Chalci","Emyrsi",8,10,0.8
"Chalci","Emyrti",5,5,1
"Chalci","Enigri",2,3,0.666666666666667
"Chalci","Ephyli",3,5,0.6
"Chalci","Epurpu",4,10,0.4
"Chalci","Esmyrs",2,3,0.666666666666667
"Chalci","Esmyrt",4,4,1
"Chalci","Esubge",1,2,0.5
"Chalci","Etesta",5,6,0.833333333333333
"Chalci","Evenus",4,11,0.363636363636364
"Chalci","Eweiff",5,6,0.833333333333333
"Chalci","Hacuti",1,9,0.111111111111111
"Chalci","Halien",1,10,0.1
"Chalci","Hangli",2,11,0.181818181818182
"Chalci","Hcarin",1,4,0.25
"Chalci","Heryth",1,7,0.142857142857143
"Chalci","Hischn",1,16,0.0625
"Chalci","Hleuca",4,23,0.173913043478261
"Chalci","Hleuco",1,10,0.1
"Chalci","Hoblit",1,12,0.0833333333333333
"Chalci","Hplicg",4,20,0.2
"Chalci","Hpruss",1,21,0.0476190476190476
"Chalci","Hpurpu",1,7,0.142857142857143
"Chalci","Hspira",1,5,0.2
"Chalci","Oaacut",1,1,1
"Chalci","Oadaph",16,19,0.842105263157895
"Chalci","Oarcti",11,15,0.733333333333333
"Chalci","Obella",5,8,0.625
"Chalci","Obrevi",3,3,1
"Chalci","Obridg",24,30,0.8
"Chalci","Ocolla",9,10,0.9
"Chalci","Odolic",9,13,0.692307692307692
"Chalci","Oelaea",3,3,1
"Chalci","Ofoeti",11,13,0.846153846153846
"Chalci","Ogalla",10,13,0.769230769230769
"Chalci","Oglabr",8,12,0.666666666666667
"Chalci","Oglauc",4,6,0.666666666666667
"Chalci","Ohasta",16,23,0.695652173913043
"Chalci","Ohelve",2,3,0.666666666666667
"Chalci","Oherba",5,7,0.714285714285714
"Chalci","Okriec",11,13,0.846153846153846
"Chalci","Olappl",10,16,0.625
"Chalci","Olappo",11,16,0.6875
"Chalci","Omacul",8,10,0.8
"Chalci","Omonti",4,4,1
"Chalci","Omyrsi",7,8,0.875
"Chalci","Omyrti",3,3,1
"Chalci","Onigri",10,12,0.833333333333333
"Chalci","Onival",21,24,0.875
"Chalci","Onorve",4,4,1
"Chalci","Oobscu",13,15,0.866666666666667
"Chalci","Opedun",8,9,0.888888888888889
"Chalci","Opprox",2,2,1
"Chalci","Oproxi",22,24,0.916666666666667
"Chalci","Opustu",2,3,0.666666666666667
"Chalci","Oretic",6,8,0.75
"Chalci","Oretus",6,6,1
"Chalci","Osamol",12,15,0.8
"Chalci","Ospeit",2,2,1
"Chalci","Ospset",3,3,1
"Chalci","Otrian",3,6,0.5
"Chalci","Ovaria",32,34,0.941176470588235
"Chalci","Ovesic",16,20,0.8
"Chalci","Ovimin",32,37,0.864864864864865
"Chalci","Oviril",9,11,0.818181818181818
"Cincer","Emyrsi",1,1,1
"Cincer","Obridg",1,1,1
"Claevi","Elappc",1,5,0.2
"Claevi","Emucro",1,1,1
"Claevi","Obella",1,1,1
"Claevi","Obridg",1,3,0.333333333333333
"Claevi","Ofoeti",1,2,0.5
"Claevi","Oglauc",2,2,1
"Claevi","Olappl",4,6,0.666666666666667
"Claevi","Omacul",1,1,1
"Claevi","Onigri",1,3,0.333333333333333
"Claevi","Oobscu",1,2,0.5
"Cnrsub","Onigri",1,1,1
"Coreop","Hplicg",1,2,0.5
"Coreop","Olappl",1,1,1
"Croman","Halien",1,1,1
"Croman","Hischn",1,1,1
"Croman","Hplicg",1,2,0.5
"Croman","Olappl",1,1,1
"Csalic","Enigri",1,1,1
"Csalic","Okriec",1,1,1
"Csalic","Opedun",1,1,1
"Ctenoc","Hplicl",1,1,1
"Ctrifa","Hcarin",1,1,1
"Cvarie","Heryth",1,1,1
"Cvitta","Oarcti",1,1,1
"Cvitta","Oelaea",1,1,1
"Cvitta","Ohasta",1,3,0.333333333333333
"Cvitta","Onigri",1,1,1
"Cvitta","Onorve",1,2,0.5
"Dcoleo","Hpruss",1,1,1
"Dlongi","Hangli",1,1,1
"Dstram","Heryth",1,1,1
"Dstram","Opedun",1,1,1
"Dstram","Oproxi",1,1,1
"Dwestw","Ofoeti",1,1,1
"Eacicu","Eboreo",1,14,0.0714285714285714
"Eacicu","Edaphn",1,6,0.166666666666667
"Eacicu","Emyrti",3,4,0.75
"Eacicu","Esmyrt",1,3,0.333333333333333
"Eacicu","Etesta",2,3,0.666666666666667
"Eacicu","Evenus",2,6,0.333333333333333
"Eacicu","Oadaph",16,18,0.888888888888889
"Eacicu","Oarcti",9,14,0.642857142857143
"Eacicu","Obella",2,3,0.666666666666667
"Eacicu","Ocolla",5,5,1
"Eacicu","Odolic",3,10,0.3
"Eacicu","Ofoeti",4,8,0.5
"Eacicu","Ogalla",3,6,0.5
"Eacicu","Oglabr",4,10,0.4
"Eacicu","Oglauc",1,3,0.333333333333333
"Eacicu","Ohasta",11,16,0.6875
"Eacicu","Oherba",3,6,0.5
"Eacicu","Okriec",11,13,0.846153846153846
"Eacicu","Olappl",4,12,0.333333333333333
"Eacicu","Olappo",4,11,0.363636363636364
"Eacicu","Omacul",1,5,0.2
"Eacicu","Omonti",1,3,0.333333333333333
"Eacicu","Omyrsi",5,6,0.833333333333333
"Eacicu","Omyrti",2,3,0.666666666666667
"Eacicu","Onigri",1,8,0.125
"Eacicu","Onival",12,19,0.631578947368421
"Eacicu","Onorve",2,2,1
"Eacicu","Opedun",7,8,0.875
"Eacicu","Opolar",1,1,1
"Eacicu","Oproxi",3,10,0.3
"Eacicu","Opustu",3,3,1
"Eacicu","Oretic",1,4,0.25
"Eacicu","Osamol",6,13,0.461538461538462
"Eacicu","Ovaria",22,26,0.846153846153846
"Eacicu","Ovesic",11,18,0.611111111111111
"Eacicu","Ovimin",29,34,0.852941176470588
"Ealbit","Eelaea",1,1,1
"Ealbit","Obridg",1,2,0.5
"Ealbit","Ocolla",1,1,1
"Ealbit","Oproxi",4,6,0.666666666666667
"Ealbit","Ovesic",1,4,0.25
"Ealbit","Ovimin",3,6,0.5
"Eanali","Hangli",2,2,1
"Eanali","Hplicl",1,1,1
"Ecalca","Hoblit",1,1,1
"Eclytu","Hplicg",1,1,1
"Efront","Hplicg",1,1,1
"Eheyer","Ocolla",1,1,1
"Enobbe","Eappen",1,1,1
"Enobbe","Eatraa",4,4,1
"Enobbe","Eaurit",5,8,0.625
"Enobbe","Edaphn",3,4,0.75
"Enobbe","Eelaea",1,4,0.25
"Enobbe","Egemmc",1,3,0.333333333333333
"Enobbe","Egemmf",1,2,0.5
"Enobbe","Egemmh",1,3,0.333333333333333
"Enobbe","Ehasta",2,3,0.666666666666667
"Enobbe","Elappc",1,2,0.5
"Enobbe","Elappo",2,5,0.4
"Enobbe","Emucro",10,10,1
"Enobbe","Emyrsi",2,2,1
"Enobbe","Emyrti",2,4,0.5
"Enobbe","Epurpu",4,5,0.8
"Enobbe","Esmyrs",1,1,1
"Enobbe","Esmyrt",1,3,0.333333333333333
"Enobbe","Evenus",1,4,0.25
"Enobbe","Eweiff",2,2,1
"Epygma","Oarcti",3,4,0.75
"Epygma","Odolic",1,1,1
"Epygma","Oelaea",1,1,1
"Epygma","Oglabr",2,4,0.5
"Epygma","Ohasta",1,2,0.5
"Epygma","Olappo",3,6,0.5
"Epygma","Onigri",1,1,1
"Epygma","Onival",5,7,0.714285714285714
"Epygma","Oviril",1,1,1
"Eridol","Eweiff",1,1,1
"Eridol","Odolic",1,1,1
"Esalic","Eatraa",7,7,1
"Esalic","Eaurit",2,4,0.5
"Esalic","Eciner",2,2,1
"Esalic","Eelaea",6,7,0.857142857142857
"Esalic","Elanat",1,1,1
"Esalic","Elappo",1,1,1
"Esalic","Emucro",2,5,0.4
"Esalic","Emyrsi",1,1,1
"Esalic","Enigri",2,2,1
"Esalic","Epurpu",6,7,0.857142857142857
"Esalic","Etesta",1,2,0.5
"Esalic","Evenus",1,2,0.5
"Esalic","Eweiff",4,4,1
"Espone","Hangli",1,1,1
"Etaige","Htuber",1,1,1
"Etorym","Oadaph",9,15,0.6
"Etorym","Oarcti",6,10,0.6
"Etorym","Obella",2,3,0.666666666666667
"Etorym","Obridg",1,11,0.0909090909090909
"Etorym","Ocolla",5,5,1
"Etorym","Ofoeti",5,7,0.714285714285714
"Etorym","Ogalla",3,5,0.6
"Etorym","Oglabr",3,7,0.428571428571429
"Etorym","Ohasta",10,17,0.588235294117647
"Etorym","Okriec",12,13,0.923076923076923
"Etorym","Olappo",2,7,0.285714285714286
"Etorym","Omacul",2,7,0.285714285714286
"Etorym","Omonti",1,3,0.333333333333333
"Etorym","Omyrsi",2,4,0.5
"Etorym","Omyrti",3,3,1
"Etorym","Onival",7,15,0.466666666666667
"Etorym","Onorve",5,5,1
"Etorym","Oobscu",1,6,0.166666666666667
"Etorym","Oretus",1,3,0.333333333333333
"Etorym","Osamol",6,10,0.6
"Etorym","Ospset",1,2,0.5
"Etorym","Ovaria",14,23,0.608695652173913
"Etorym","Ovesic",7,14,0.5
"Etorym","Ovimin",24,25,0.96
"Etoxon","Oadaph",1,1,1
"Etoxon","Obridg",9,11,0.818181818181818
"Etoxon","Ogalla",1,3,0.333333333333333
"Etoxon","Opedun",6,7,0.857142857142857
"Etoxon","Oproxi",7,8,0.875
"Etoxon","Ovaria",2,2,1
"Etoxon","Ovesic",1,3,0.333333333333333
"Etoxon","Ovimin",1,7,0.142857142857143
"Eurozo","Eweiff",2,2,1
"Eurozo","Omacul",1,1,1
"Eurozo","Oproxi",3,3,1
"Eurozo","Ovesic",1,3,0.333333333333333
"Eurozo","Ovimin",2,4,0.5
"Euryto","Ovimin",1,1,1
"Geliss","Egemmh",1,2,0.5
"Geliss","Obrevi",1,1,1
"Gornat","Eweiff",1,1,1
"Hruber","Oadaph",4,8,0.5
"Hruber","Oarcti",4,5,0.8
"Hruber","Obrevi",2,3,0.666666666666667
"Hruber","Obridg",9,16,0.5625
"Hruber","Odolic",1,3,0.333333333333333
"Hruber","Oelaea",2,3,0.666666666666667
"Hruber","Ofoeti",7,11,0.636363636363636
"Hruber","Ogalla",3,4,0.75
"Hruber","Oglabr",2,2,1
"Hruber","Ohasta",6,8,0.75
"Hruber","Ohelve",2,3,0.666666666666667
"Hruber","Okriec",3,7,0.428571428571429
"Hruber","Olappo",3,5,0.6
"Hruber","Omacul",3,5,0.6
"Hruber","Omonti",2,3,0.666666666666667
"Hruber","Onigri",5,7,0.714285714285714
"Hruber","Onival",4,9,0.444444444444444
"Hruber","Onorve",1,1,1
"Hruber","Oobscu",5,9,0.555555555555556
"Hruber","Opustu",1,1,1
"Hruber","Oretic",1,3,0.333333333333333
"Hruber","Osamol",1,3,0.333333333333333
"Hruber","Ospset",1,2,0.5
"Hruber","Ovaria",13,18,0.722222222222222
"Hruber","Ovesic",4,6,0.666666666666667
"Hruber","Ovimin",3,10,0.3
"Hruber","Oviril",1,2,0.5
"Ialter","Hischn",1,1,1
"Ibrevi","Hpolit",5,5,1
"Ibrevi","Ovimin",1,4,0.25
"Ichnin","Eatraa",1,2,0.5
"Ichnin","Eboreo",1,13,0.0769230769230769
"Ichnin","Eelaea",1,6,0.166666666666667
"Ichnin","Egemmf",1,8,0.125
"Ichnin","Ehasta",3,10,0.3
"Ichnin","Elanat",1,5,0.2
"Ichnin","Elappc",3,8,0.375
"Ichnin","Elappo",2,13,0.153846153846154
"Ichnin","Emyrsi",2,5,0.4
"Ichnin","Enigri",1,2,0.5
"Ichnin","Epurpu",3,4,0.75
"Ichnin","Evenus",2,4,0.5
"Ichnin","Eweiff",1,2,0.5
"Ichnin","Hacuti",2,10,0.2
"Ichnin","Halien",1,4,0.25
"Ichnin","Hangli",4,8,0.5
"Ichnin","Hcarin",2,2,1
"Ichnin","Heryth",3,4,0.75
"Ichnin","Hischn",1,10,0.1
"Ichnin","Hleuca",4,10,0.4
"Ichnin","Hnudip",4,9,0.444444444444444
"Ichnin","Hoblit",2,6,0.333333333333333
"Ichnin","Hplicg",8,19,0.421052631578947
"Ichnin","Hplicl",2,6,0.333333333333333
"Ichnin","Hpolit",5,9,0.555555555555556
"Ichnin","Hsglau",1,4,0.25
"Ichnin","Hspira",1,4,0.25
"Ichnin","Oadaph",1,4,0.25
"Ichnin","Obrevi",3,3,1
"Ichnin","Obridg",3,13,0.230769230769231
"Ichnin","Ocolla",1,2,0.5
"Ichnin","Odolic",1,6,0.166666666666667
"Ichnin","Ofoeti",1,8,0.125
"Ichnin","Oglabr",1,7,0.142857142857143
"Ichnin","Oglauc",1,4,0.25
"Ichnin","Ohasta",2,14,0.142857142857143
"Ichnin","Oherba",2,6,0.333333333333333
"Ichnin","Okriec",1,4,0.25
"Ichnin","Olappl",2,10,0.2
"Ichnin","Olappo",1,9,0.111111111111111
"Ichnin","Omacul",1,3,0.333333333333333
"Ichnin","Omonti",1,3,0.333333333333333
"Ichnin","Omyrsi",2,4,0.5
"Ichnin","Onigri",1,7,0.142857142857143
"Ichnin","Onival",4,13,0.307692307692308
"Ichnin","Oobscu",4,8,0.5
"Ichnin","Opedun",1,3,0.333333333333333
"Ichnin","Oproxi",1,7,0.142857142857143
"Ichnin","Opustu",1,3,0.333333333333333
"Ichnin","Oretic",1,6,0.166666666666667
"Ichnin","Oretus",2,3,0.666666666666667
"Ichnin","Osamol",3,8,0.375
"Ichnin","Ovaria",1,14,0.0714285714285714
"Ichnin","Ovesic",2,9,0.222222222222222
"Ichnsp","Obridg",1,1,1
"Ilappo","Emyrsi",1,2,0.5
"Ilappo","Oadaph",2,4,0.5
"Ilappo","Oarcti",4,7,0.571428571428571
"Ilappo","Obella",1,1,1
"Ilappo","Obridg",1,6,0.166666666666667
"Ilappo","Odolic",1,5,0.2
"Ilappo","Ogalla",2,2,1
"Ilappo","Oglabr",2,6,0.333333333333333
"Ilappo","Okriec",2,3,0.666666666666667
"Ilappo","Olappo",4,9,0.444444444444444
"Ilappo","Omyrsi",1,4,0.25
"Ilappo","Onival",4,13,0.307692307692308
"Ilappo","Opedun",2,6,0.333333333333333
"Ilappo","Osamol",1,8,0.125
"Ilappo","Ovaria",7,8,0.875
"Ilappo","Ovimin",5,5,1
"Ireuni","Hleuca",3,5,0.6
"Ireuni","Hpolit",2,2,1
"Ireuni","Hpruss",1,5,0.2
"Ireuni","Hpurpu",1,2,0.5
"Lalpic","Eelaea",1,1,1
"Lalpic","Epurpu",1,1,1
"Lalpio","Ovesic",1,1,1
"Lalpio","Ovimin",1,1,1
"Lalpiu","Hleuco",1,1,1
"Latole","Halien",1,1,1
"Latole","Hischn",1,1,1
"Latole","Obridg",1,1,1
"Lflexi","Oarcti",1,6,0.166666666666667
"Lflexi","Oglabr",2,8,0.25
"Lflexi","Ohasta",1,5,0.2
"Lflexi","Omyrsi",1,3,0.333333333333333
"Lflexi","Onival",2,9,0.222222222222222
"Lflexi","Oretic",1,3,0.333333333333333
"Lflexi","Osamol",3,8,0.375
"Lflexi","Ovaria",3,7,0.428571428571429
"Lforti","Eboreo",1,3,0.333333333333333
"Lforti","Ehasta",1,1,1
"Lforti","Elappc",1,3,0.333333333333333
"Lforti","Elappo",1,3,0.333333333333333
"Lforti","Emucro",1,1,1
"Lforti","Evenus",1,1,1
"Llappo","Elappc",3,3,1
"Llugen","Obridg",7,8,0.875
